ID,State,Description,Creation_Date,PROJECT,Due_Date,Expiration_Date,Location,Context,Reminders,ACTIVITYs,Sub_TASKs,Parent_TASK
2294,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2301,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2302,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2303,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2304,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2319,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2320,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2321,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2322,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2323,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2334,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2341,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2342,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2343,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2344,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2349,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2356,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2357,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2358,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2359,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2374,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2375,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2376,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2377,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2378,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2389,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2396,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2397,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2398,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2399,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2414,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2415,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2416,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2417,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2418,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2429,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2436,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2437,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2438,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2439,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2454,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2455,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2456,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2457,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2458,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2469,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2476,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2477,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2478,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2479,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2494,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2495,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2496,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2497,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2498,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2509,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2516,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2517,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2518,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2519,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2534,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2535,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2536,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2537,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2538,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2549,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2556,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2557,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2558,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2559,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2574,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2575,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2576,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2577,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2578,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2593,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2600,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2601,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2602,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2603,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2618,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2619,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2620,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2621,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2622,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2633,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2640,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2641,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2642,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2643,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2658,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2659,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2660,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2661,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2662,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2703,Open, this is what you need to do on project one,17ww27.Sun,project_one,,,,,,[],[],
2710,Open, another this is what you need to do on project one,17ww27.Sun,project_one,,,,,,[],[],
2711,Open, this is what you need to do on project two,17ww27.Sun,project_two,,,,,,[],[],
2712,Open, second this is what you need to do on project two,17ww27.Sun,project_two,,,,,,[],[],
2713,Open, second this is what you need to do on project two,17ww27.Sun,project_two,,,,,,[],[],
2728,Open, 1this is what you need to do on project one,17ww27.Sun,project_one,,,,,,[],[],
2729,Open, 1another this is what you need to do on project one,17ww27.Sun,project_one,,,,,,[],[],
2730,Open, 1this is what you need to do on project two,17ww27.Sun,project_two,,,,,,[],[],
2731,Open, 1second this is what you need to do on project two,17ww27.Sun,project_two1,,,,,,[],[],
2732,Open, 1third this is what you need to do on project two,17ww27.Sun,project_two,,,,,,[],[],
